backend,mutation_kind,arity,num_buckets,bucket_size,value_bits,plaintext_bits,lwe_dim,n_mutations,load_factor,n_attempted,n_succeeded,total_ms,ops_per_s,delta_bytes_total,cells_per_slot,row_width,segment_rows,db_rows,db_cols
frodo,insert,4,1048576,3,8192,9,1566,31457,0.90,31457,31457,272135.317,115.59,531828306,914,2742,262144,262144,2742
frodo,update,4,1048576,3,8192,9,1566,31457,0.90,31457,31457,141387.087,222.49,285425834,914,2742,262144,262144,2742
frodo,delete,4,1048576,3,8192,9,1566,31457,0.90,31457,31457,143072.929,219.87,288644472,914,2742,262144,262144,2742
simple,insert,2,262144,4,256,10,1275,10485,0.90,10485,10485,5150.069,2035.90,17550154,29,116,131072,3856,3944
simple,update,2,262144,4,256,10,1275,10485,0.90,10485,10485,805.894,13010.40,2997704,29,116,131072,3856,3944
simple,delete,2,262144,4,256,10,1275,10485,0.90,10485,10485,920.131,11395.11,3333450,29,116,131072,3856,3944
simple,insert,2,262144,4,2048,10,1275,10485,0.90,10485,10485,34172.900,306.82,122226508,208,832,131072,10083,10816
simple,update,2,262144,4,2048,10,1275,10485,0.90,10485,10485,5876.187,1784.32,21619074,208,832,131072,10083,10816
simple,delete,2,262144,4,2048,10,1275,10485,0.90,10485,10485,5954.669,1760.80,22102010,208,832,131072,10083,10816
simple,insert,2,262144,4,8192,10,1275,10485,0.90,10485,10485,133545.774,78.51,480795858,823,3292,131072,21846,19752
simple,update,2,262144,4,8192,10,1275,10485,0.90,10485,10485,22647.783,462.96,85597524,823,3292,131072,21846,19752
simple,delete,2,262144,4,8192,10,1275,10485,0.90,10485,10485,61674.747,170.00,86578210,823,3292,131072,21846,19752
simple,insert,2,1048576,4,256,10,1275,41943,0.90,41943,41943,49609.325,845.47,69935642,29,116,524288,7826,7772
simple,update,2,1048576,4,256,10,1275,41943,0.90,41943,41943,4308.991,9733.83,11991680,29,116,524288,7826,7772
simple,delete,2,1048576,4,256,10,1275,41943,0.90,41943,41943,4637.527,9044.26,13334534,29,116,524288,7826,7772
simple,insert,2,1048576,4,2048,10,1275,41943,0.90,41943,41943,133303.091,314.64,485914796,208,832,524288,20972,20800
simple,update,2,1048576,4,2048,10,1275,41943,0.90,41943,41943,23003.332,1823.34,86482530,208,832,524288,20972,20800
