backend,mutation_kind,arity,num_buckets,bucket_size,value_bits,plaintext_bits,lwe_dim,n_mutations,load_factor,n_succeeded,total_ms,ops_per_s,cells_per_slot,row_width,segment_rows,db_rows,db_cols
frodo,insert,3,393216,3,2048,9,1566,11796,0.90,11796,15576.518,757.29,232,696,131072,131072,696
frodo,update,3,393216,3,2048,9,1566,11796,0.90,11796,5219.508,2259.98,232,696,131072,131072,696
frodo,delete,3,393216,3,2048,9,1566,11796,0.90,11796,5504.299,2143.05,232,696,131072,131072,696
frodo,insert,3,393216,3,8192,9,1566,11796,0.90,11796,136791.125,86.23,914,2742,131072,131072,2742
frodo,update,3,393216,3,8192,9,1566,11796,0.90,11796,94194.629,125.23,914,2742,131072,131072,2742
frodo,delete,3,393216,3,8192,9,1566,11796,0.90,11796,49792.227,236.90,914,2742,131072,131072,2742
frodo,insert,3,1572864,3,256,8,1566,47185,0.90,47185,7117.008,6629.89,36,108,524288,524288,108
frodo,update,3,1572864,3,256,8,1566,47185,0.90,47185,2314.591,20385.89,36,108,524288,524288,108
frodo,delete,3,1572864,3,256,8,1566,47185,0.90,47185,2584.785,18254.90,36,108,524288,524288,108
frodo,insert,3,1572864,3,2048,8,1566,47185,0.90,47185,96111.394,490.94,260,780,524288,524288,780
frodo,update,3,1572864,3,2048,8,1566,47185,0.90,47185,31659.363,1490.40,260,780,524288,524288,780
frodo,delete,3,1572864,3,2048,8,1566,47185,0.90,47185,32722.757,1441.96,260,780,524288,524288,780
frodo,insert,3,1572864,3,8192,8,1566,47185,0.90,47185,924248.208,51.05,1028,3084,524288,524288,3084
frodo,update,3,1572864,3,8192,8,1566,47185,0.90,47185,313280.028,150.62,1028,3084,524288,524288,3084
frodo,delete,3,1572864,3,8192,8,1566,47185,0.90,47185,313806.197,150.36,1028,3084,524288,524288,3084
frodo,insert,4,524288,3,256,9,1566,15728,0.90,15728,1374.407,11443.48,32,96,131072,131072,96
frodo,update,4,524288,3,256,9,1566,15728,0.90,15728,690.760,22769.11,32,96,131072,131072,96
frodo,delete,4,524288,3,256,9,1566,15728,0.90,15728,756.114,20801.11,32,96,131072,131072,96
frodo,insert,4,524288,3,2048,9,1566,15728,0.90,15728,14417.684,1090.88,232,696,131072,131072,696
frodo,update,4,524288,3,2048,9,1566,15728,0.90,15728,7102.740,2214.36,232,696,131072,131072,696
