scheme,arity,num_buckets,bucket_size,degree,count
standard,3,59049,3,7,7143
standard,3,59049,3,8,7761
standard,3,59049,3,9,7711
standard,3,59049,3,10,6901
standard,3,59049,3,11,5572
standard,3,59049,3,12,4242
standard,3,59049,3,13,2858
standard,3,59049,3,14,1859
standard,3,59049,3,15,1093
standard,3,59049,3,16,591
standard,3,59049,3,17,324
standard,3,59049,3,18,168
standard,3,59049,3,19,76
standard,3,59049,3,20,35
standard,3,59049,3,21,16
standard,3,59049,3,22,2
segmented,4,65536,3,0,1
segmented,4,65536,3,1,3
segmented,4,65536,3,2,32
segmented,4,65536,3,3,117
segmented,4,65536,3,4,346
segmented,4,65536,3,5,864
segmented,4,65536,3,6,1738
segmented,4,65536,3,7,2890
segmented,4,65536,3,8,4312
segmented,4,65536,3,9,5691
segmented,4,65536,3,10,6988
segmented,4,65536,3,11,7467
segmented,4,65536,3,12,7566
segmented,4,65536,3,13,6805
segmented,4,65536,3,14,6039
segmented,4,65536,3,15,4795
segmented,4,65536,3,16,3506
segmented,4,65536,3,17,2413
segmented,4,65536,3,18,1617
segmented,4,65536,3,19,1017
segmented,4,65536,3,20,607
segmented,4,65536,3,21,377
segmented,4,65536,3,22,165
segmented,4,65536,3,23,93
segmented,4,65536,3,24,41
segmented,4,65536,3,25,27
segmented,4,65536,3,26,12
segmented,4,65536,3,27,5
segmented,4,65536,3,29,2
standard,4,65536,3,0,1
standard,4,65536,3,1,9
standard,4,65536,3,2,30
standard,4,65536,3,3,132
standard,4,65536,3,4,362
standard,4,65536,3,5,868
standard,4,65536,3,6,1702
standard,4,65536,3,7,2873
standard,4,65536,3,8,4321
standard,4,65536,3,9,5740
standard,4,65536,3,10,6887
standard,4,65536,3,11,7558
standard,4,65536,3,12,7620
standard,4,65536,3,13,6864
standard,4,65536,3,14,5910
standard,4,65536,3,15,4695
standard,4,65536,3,16,3497
standard,4,65536,3,17,2411
standard,4,65536,3,18,1615
standard,4,65536,3,19,1040
standard,4,65536,3,20,633
standard,4,65536,3,21,351
standard,4,65536,3,22,198
standard,4,65536,3,23,116
standard,4,65536,3,24,64
standard,4,65536,3,25,24
standard,4,65536,3,26,11
standard,4,65536,3,27,3
standard,4,65536,3,28,1
segmented,2,65536,4,0,29
segmented,2,65536,4,1,231
segmented,2,65536,4,2,841
segmented,2,65536,4,3,2251
segmented,2,65536,4,4,4298
segmented,2,65536,4,5,6569
segmented,2,65536,4,6,8534
segmented,2,65536,4,7,9490
segmented,2,65536,4,8,9099
segmented,2,65536,4,9,7727
segmented,2,65536,4,10,6174
segmented,2,65536,4,11,4299
segmented,2,65536,4,12,2727
segmented,2,65536,4,13,1552
segmented,2,65536,4,14,886
segmented,2,65536,4,15,455
segmented,2,65536,4,16,230
segmented,2,65536,4,17,83
segmented,2,65536,4,18,41
segmented,2,65536,4,19,15
segmented,2,65536,4,20,3
